tileset_id	style_id	draft	style_name
probablefutures.40106-east-draft	cksssq4fb3gwp17p6nslyb46w	true	Days above 38°C (100°F) -- global RCM RegCM-REMO ensemble
probablefutures.40106-east-v1	cl59ntt93004o14l9j4j4vrxq	false	Days above 38°C (100°F) -- global RCM RegCM-REMO ensemble -- v1
probablefutures.40106-east-v1	cl59ntt93004o14l9j4j4vrxq	true	Days above 38°C (100°F) -- global RCM RegCM-REMO ensemble -- v1
probablefutures.40106-east-v2	cle5ik4xw001401qtmx3iupap	false	Days above 38°C (100°F) -- v2
probablefutures.40106-east-v2	cle5ik4xw001401qtmx3iupap	true	Days above 38°C (100°F) -- v2
probablefutures.40106-east-v3	clhyrwhlt02ae01qu6uojdjhx	false	Days above 38°C (100°F) -- v3
probablefutures.40106-east-v3	clhyrwhlt02ae01qu6uojdjhx	true	Days above 38°C (100°F) -- v3
probablefutures.40106-era5-east-v4	cmtcsba3k001r01sggi5vc2ou	false	40106 era5 -- v4
probablefutures.40106-era5-east-v4	cmtcsba3k001r01sggi5vc2ou	true	40106 era5 -- v4
probablefutures.40106-era5-west-v4	cmtcsba3k001r01sggi5vc2ou	false	40106 era5 -- v4
probablefutures.40106-era5-west-v4	cmtcsba3k001r01sggi5vc2ou	true	40106 era5 -- v4
probablefutures.40106-hires-east-v4	cmsygf86z007u01sa0jon8wxs	false	40106 hi-res -- v4
probablefutures.40106-hires-east-v4	cmsygf86z007u01sa0jon8wxs	true	40106 hi-res -- v4
probablefutures.40106-hires-p02-east-v4	cmsygf86z007u01sa0jon8wxs	false	40106 hi-res -- v4
probablefutures.40106-hires-p02-east-v4	cmsygf86z007u01sa0jon8wxs	true	40106 hi-res -- v4
probablefutures.40106-hires-p02-west-v4	cmsygf86z007u01sa0jon8wxs	false	40106 hi-res -- v4
probablefutures.40106-hires-p02-west-v4	cmsygf86z007u01sa0jon8wxs	true	40106 hi-res -- v4
probablefutures.40106-hires-p08-east-v4	cmsygf86z007u01sa0jon8wxs	false	40106 hi-res -- v4
probablefutures.40106-hires-p08-east-v4	cmsygf86z007u01sa0jon8wxs	true	40106 hi-res -- v4
probablefutures.40106-hires-p08-west-v4	cmsygf86z007u01sa0jon8wxs	false	40106 hi-res -- v4
probablefutures.40106-hires-p08-west-v4	cmsygf86z007u01sa0jon8wxs	true	40106 hi-res -- v4
probablefutures.40106-hires-west-v4	cmsygf86z007u01sa0jon8wxs	false	40106 hi-res -- v4
probablefutures.40106-hires-west-v4	cmsygf86z007u01sa0jon8wxs	true	40106 hi-res -- v4
probablefutures.40106-west-draft	cksssq4fb3gwp17p6nslyb46w	false	Days above 38°C (100°F) -- global RCM RegCM-REMO ensemble
probablefutures.40106-west-draft	cksssq4fb3gwp17p6nslyb46w	true	Days above 38°C (100°F) -- global RCM RegCM-REMO ensemble
probablefutures.40106-west-v1	cl59ntt93004o14l9j4j4vrxq	false	Days above 38°C (100°F) -- global RCM RegCM-REMO ensemble -- v1
probablefutures.40106-west-v1	cl59ntt93004o14l9j4j4vrxq	true	Days above 38°C (100°F) -- global RCM RegCM-REMO ensemble -- v1
probablefutures.40106-west-v2	cle5ik4xw001401qtmx3iupap	false	Days above 38°C (100°F) -- v2
probablefutures.40106-west-v2	cle5ik4xw001401qtmx3iupap	true	Days above 38°C (100°F) -- v2
probablefutures.40106-west-v3	clhyrwhlt02ae01qu6uojdjhx	false	Days above 38°C (100°F) -- v3
probablefutures.40106-west-v3	clhyrwhlt02ae01qu6uojdjhx	true	Days above 38°C (100°F) -- v3
probablefutures.40107-diff-east-v4	cmt0367vu003201qxayfw2h09	false	40107 diff -- v4
probablefutures.40107-diff-east-v4	cmt0367vu003201qxayfw2h09	true	40107 diff -- v4
probablefutures.40107-diff-p02-east-v4	cmt0367vu003201qxayfw2h09	false	40107 diff -- v4
probablefutures.40107-diff-p02-east-v4	cmt0367vu003201qxayfw2h09	true	40107 diff -- v4
probablefutures.40107-diff-p02-west-v4	cmt0367vu003201qxayfw2h09	false	40107 diff -- v4
probablefutures.40107-diff-p02-west-v4	cmt0367vu003201qxayfw2h09	true	40107 diff -- v4
probablefutures.40107-diff-p08-east-v4	cmt0367vu003201qxayfw2h09	false	40107 diff -- v4
probablefutures.40107-diff-p08-east-v4	cmt0367vu003201qxayfw2h09	true	40107 diff -- v4
probablefutures.40107-diff-p08-west-v4	cmt0367vu003201qxayfw2h09	false	40107 diff -- v4
probablefutures.40107-diff-p08-west-v4	cmt0367vu003201qxayfw2h09	true	40107 diff -- v4
probablefutures.40107-diff-west-v4	cmt0367vu003201qxayfw2h09	false	40107 diff -- v4
probablefutures.40107-diff-west-v4	cmt0367vu003201qxayfw2h09	true	40107 diff -- v4
probablefutures.40107-east-v3	clr4pe2k400ds01p56a6jc3en	false	Days above 45°C (113°F) -- v3
probablefutures.40107-east-v3	clr4pe2k400ds01p56a6jc3en	true	Days above 45°C (113°F) -- v3
probablefutures.40107-era5-east-v4	cmtcsgodl001e01qu0ri38mpw	false	40107 era5 -- v4
probablefutures.40107-era5-east-v4	cmtcsgodl001e01qu0ri38mpw	true	40107 era5 -- v4
probablefutures.40107-era5-west-v4	cmtcsgodl001e01qu0ri38mpw	false	40107 era5 -- v4
probablefutures.40107-era5-west-v4	cmtcsgodl001e01qu0ri38mpw	true	40107 era5 -- v4
probablefutures.40107-hires-east-v4	cmsygqx83005s01r078168l3j	false	40107 hi-res -- v4
probablefutures.40107-hires-east-v4	cmsygqx83005s01r078168l3j	true	40107 hi-res -- v4
probablefutures.40107-hires-p02-east-v4	cmsygqx83005s01r078168l3j	false	40107 hi-res -- v4
probablefutures.40107-hires-p02-east-v4	cmsygqx83005s01r078168l3j	true	40107 hi-res -- v4
probablefutures.40107-hires-p02-west-v4	cmsygqx83005s01r078168l3j	false	40107 hi-res -- v4
probablefutures.40107-hires-p02-west-v4	cmsygqx83005s01r078168l3j	true	40107 hi-res -- v4
probablefutures.40107-hires-p08-east-v4	cmsygqx83005s01r078168l3j	false	40107 hi-res -- v4
probablefutures.40107-hires-p08-east-v4	cmsygqx83005s01r078168l3j	true	40107 hi-res -- v4
probablefutures.40107-hires-p08-west-v4	cmsygqx83005s01r078168l3j	false	40107 hi-res -- v4
probablefutures.40107-hires-p08-west-v4	cmsygqx83005s01r078168l3j	true	40107 hi-res -- v4
